Galaxy,Rgt2.0Rdisk,Rgt2.5Rdisk,Rgt3.0Rdisk,last40pct
CamB,0.8319915338525619,0.8170110994450813,0.9105762754725218,0.8319915338525619
D512-2,-0.1247795388793956,,,-0.1247795388793956
D564-8,0.3437520797606868,0.3437520797606868,0.32715638991181956,0.32715638991181956
D631-7,0.483362819775646,0.483362819775646,0.4615482333807952,0.21049627226503004
DDO064,0.18034627760305832,0.027555362826037308,0.03441700229530992,0.08122320782810154
DDO154,0.4276669720108098,0.4276669720108098,0.34850202485740006,-0.02609346474098172
DDO161,0.40193011306449733,0.3745526813266936,0.3570561917389003,0.17193312157084809
DDO168,0.2350492276099905,-0.0313637713623202,-0.23111545652493004,-0.0313637713623202
DDO170,0.17059864449731918,0.15055576944314186,0.15055576944314186,0.12685190968171273
ESO079-G014,0.12731367836966762,0.07732746168198888,,0.21278075254205703
ESO116-G012,0.22084057706626375,0.10057895350758715,0.08586890209815329,0.06466011109576938
ESO444-G084,0.2326366710997263,0.2326366710997263,0.1949783098313393,0.1266904161096936
ESO563-G021,0.010992709631185968,0.004235009910329337,-0.0028159367799138997,0.011127811783449433
F561-1,0.06149685902476354,0.0,,0.06149685902476354
F563-1,0.17147739131191847,0.17255149550617432,0.021060342520675866,0.13709291586207692
F563-V1,,,,-0.18871687635314016
F563-V2,0.059801638858166875,0.059801638858166875,0.059801638858166875,0.059801638858166875
F565-V2,0.34607373232421,0.3655114241942569,0.3685125657557345,0.3655114241942569
F567-2,0.36615377355774886,,,0.36615377355774886
F568-1,,,,0.23935840354954746
F568-3,0.3920808896874628,0.46348396710880574,0.21023128515735892,0.27364148989163245
F568-V1,0.03695652188440689,0.05920054927914698,0.09516916125841808,0.05920054927914698
F571-8,0.19089680788803368,0.12051983234318156,0.0835644591664043,0.25314202521811746
F571-V1,0.21143456406009456,0.1568108126522892,0.1568108126522892,0.052331486954226535
F574-1,0.07989906141186359,0.030611524245375252,,0.11566036910583867
F574-2,0.4687674352087869,,,0.4687674352087869
F579-V1,0.04553222208211673,0.015737317468599042,0.0,0.04553222208211673
F583-1,0.19959605181777712,0.16944498835122712,0.09252253761805905,0.19959605181777712
F583-4,0.36404781951452714,0.35307386758675413,0.5228685369608712,0.327758204711361
IC2574,0.674879169517548,0.6135379193103089,0.5119834771160792,0.5971392419704987
IC4202,0.0024138436387730255,-0.022362713172656975,-0.02354616663987323,-0.0333126900224268
KK98-251,-0.10112092829087534,,,0.34233423273293506
NGC0024,0.013888594786237265,0.12659454423388908,0.12659454423388908,0.026500433954834094
NGC0055,0.051035956038383054,,,0.03418166136995242
NGC0100,0.2481734878557223,0.22885636057577297,0.25975449390212935,0.29035921490186795
NGC0247,0.30813829379504437,0.1905534643789022,0.1279525424341162,0.22322279480937307
NGC0289,-0.012758832587310186,0.009554673533038746,-0.010303287291602209,-0.22373319852968687
NGC0300,0.14577538777152269,0.17374261515063422,0.18459496935663947,0.13114013645734168
NGC0801,-0.03569479083156134,-0.03199621615283613,-0.04593680725734442,-0.03199621615283613
NGC0891,-0.06926647668677256,-0.0872941811883934,-0.11057283404183428,-0.17304306011840107
NGC1003,0.14278440416797336,0.13003306127471032,0.12073685651818207,0.13033347203782417
NGC1090,-0.04383393276691595,-0.05935896196081668,-0.08426593704356938,-0.07790535178169772
NGC1705,-0.013591272648041386,-0.013591272648041386,-0.017884737495859067,0.005176245118183578
NGC2366,0.3124841630660618,0.19717240376264866,0.15388276866689987,-0.169270771263173
NGC2403,0.13675501584901478,0.1017237345368631,0.07773577957520916,0.07337691586195728
NGC2683,-0.20848836593975179,-0.20848836593975179,-0.23224733162607775,-0.12286749196576717
NGC2841,-0.07636880891091345,-0.08122482368248735,-0.07736559056092715,-0.018108507095866148
NGC2903,-0.1103990953337158,-0.11303054808503797,-0.11754105137390468,-0.12574745779269167
NGC2915,0.14713487485836546,0.09513024475101099,0.09513024475101099,0.2061287163049335
NGC2955,,,,-0.13998651353222452
NGC2976,-0.5021092778861429,,,0.5003260262297318
NGC2998,-0.02273622541664481,-0.030781629669418505,-0.058924524618211446,-0.030781629669418505
NGC3109,0.45533591570903437,0.45050579906975874,0.3344543446863565,0.45050579906975874
NGC3198,0.004214327169979146,-0.01635655678044017,-0.034655107393281266,-0.04097071626810208
NGC3521,-0.04001584162436495,-0.03420928318373773,-0.03374430237429252,-0.0426508910111685
NGC3726,0.05756600744946736,0.03489413165021462,0.05985588515344487,0.21145226170346504
NGC3741,0.3921157969679004,0.3777662324251091,0.3777662324251091,0.29602008968246085
NGC3769,-0.03952246975363085,-0.036581777299054125,-0.023274569198474294,-0.01280385974465275
NGC3877,0.08168048031285871,0.0256387522687058,-0.004298535685288303,0.0256387522687058
NGC3893,-0.09340242472609847,-0.10711187925211754,-0.13325811601048443,-0.28283636152935776
NGC3917,0.09676731822248058,0.05622494967693812,0.01735905764125638,0.014170575922954922
NGC3949,,,,0.16187798501328676
NGC3953,-0.08437965810163829,-0.34863769161955366,,-0.08437965810163829
NGC3972,0.3109382178677553,0.24733686768399643,0.13853864591388165,0.24733686768399643
NGC3992,-0.11742784920048312,-0.11742784920048312,-0.17155227367764708,-0.05982923559526771
NGC4010,0.06943540993909338,-0.19880033900187907,-0.22013486578190816,-0.11437195526759257
NGC4013,-0.07477650181353972,-0.057648908289251746,-0.011998928009952572,0.08226160237473568
NGC4051,-0.04283102462281383,,,-0.15517295925204216
NGC4068,0.7049350944524402,0.7049350944524402,0.7635492616251077,0.7049350944524402
NGC4085,0.12429323856659379,0.13582212319531778,0.14571689331615845,0.13582212319531778
NGC4088,-0.007408030980306475,-0.06342542617075345,-0.07387092662357184,0.046861828746304825
NGC4100,-0.09064865729615403,-0.16698630995564165,-0.19253326528819847,-0.3426718486725316
NGC4138,-0.2443673382755741,-0.2443673382755741,-0.2443673382755741,0.10462123207625956
NGC4157,-0.04822287672154189,-0.06184541739271942,-0.06184541739271942,0.042974166294860866
NGC4183,0.0216413239254099,-0.0006321861682223358,-0.022120883835118982,0.042412173597595845
NGC4214,0.10377817510924234,0.07645246111806202,0.039111113645136725,0.01293388723544115
NGC4217,-0.05577682295191603,-0.11144718786549872,-0.16495075421636418,-0.17940818014769586
NGC4389,,,,0.6937185997389174
