method,n,mean,median,std,declining,flat,rising
Rgt2.0Rdisk,87,0.07379825078787138,0.038431534148186765,0.1809482357142402,25,21,41
Rgt2.5Rdisk,79,0.04459990667534499,-0.0006321861682223358,0.17647557572702866,28,18,33
Rgt3.0Rdisk,65,0.007397596254938971,-0.011998928009952572,0.15418724261314382,27,17,21
last40pct,66,0.03561536201313356,-0.0008717618044538271,0.20232962689627865,22,23,21
