Galaxy,Q,Rdisk_kpc,Vflat_kms,Inc_deg,D_Mpc,L36_1e9solLum,MHI_1e9solMass,N_total,N_invalid_total,N_outer_raw,N_outer_valid,outer_radius_threshold_kpc,outer_slope_ols,outer_slope_stderr,outer_slope_weighted,intercept_log10,weighted_intercept_log10,flatness_abs,stability_index_log10,rvalue_loglog,pvalue_loglog,accepted_main,exclusion_reason_primary,exclusion_reasons_all
F568-3,1,4.99,0.0,40.0,82.4,8.346,3.195,18,0,3,3,12.475000000000001,0.46348396710880574,0.1400753250100404,0.4634839671088034,1.5021142030174148,1.5021142030174177,0.46348396710880574,0.007568263898381694,0.9572387323902022,0.18684447725928074,False,insufficient_outer_points,insufficient_outer_points
F568-V1,1,2.85,112.3,40.0,80.6,3.825,2.491,15,0,6,6,7.125,0.05920054927914698,0.02143231878387457,0.05711904034702068,1.993333427920237,1.9963278650170746,0.05920054927914698,0.005798128808507147,0.8099728347196558,0.05073451410646778,False,insufficient_outer_points,insufficient_outer_points
F571-8,1,3.56,139.7,85.0,53.3,10.164,1.782,13,0,3,3,8.9,0.12051983234318156,0.03152251545267703,0.12276791642420751,2.016108341939076,2.0139751430586963,0.12051983234318156,0.0035557479818929096,0.9674552026819546,0.16286240104535823,False,insufficient_outer_points,insufficient_outer_points
F571-V1,2,2.47,83.6,30.0,80.1,1.849,1.217,7,0,4,4,6.175000000000001,0.1568108126522892,0.05406575442948665,0.15265069531689812,1.7532428236031226,1.7577165797956744,0.1568108126522892,0.007981567875861002,0.8988419660211578,0.10115803397884215,False,insufficient_outer_points,insufficient_outer_points
F574-1,1,4.46,97.8,65.0,96.8,6.537,3.524,14,0,2,2,11.15,0.030611524245375252,0.0,0.030611524245384807,1.9650111386908926,1.9650111386908824,0.030611524245375252,0.0,1.0,0.0,False,insufficient_outer_points,insufficient_outer_points
F579-V1,1,3.37,112.1,26.0,89.5,11.848,2.245,14,0,4,4,8.425,0.015737317468599042,0.009627856371345198,0.01740027468671971,2.0391693572446408,2.0374980477606797,0.015737317468599042,0.001251799107407368,0.7562397116385132,0.24376028836148678,False,insufficient_outer_points,insufficient_outer_points
F583-1,1,2.36,85.8,63.0,35.4,0.986,2.126,25,0,7,7,5.8999999999999995,0.16944498835122712,0.03106713694999023,0.18205087030116304,1.7391238791116344,1.7255969061340406,0.16944498835122712,0.012354835396488068,0.9252599838688379,0.0028165829594657137,False,insufficient_outer_points,insufficient_outer_points
F583-4,1,1.93,0.0,55.0,53.3,1.715,0.641,12,0,6,6,4.825,0.35307386758675413,0.06948612871659363,0.32575309482178794,1.5341083372042639,1.556291512399196,0.35307386758675413,0.00914932112031295,0.9305139094008649,0.007074724751284066,False,insufficient_outer_points,insufficient_outer_points
KK98-251,2,1.34,33.7,59.0,6.8,0.085,0.115,15,0,0,0,3.35,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
NGC0024,1,1.34,106.3,64.0,7.3,3.889,0.676,29,0,4,4,3.35,0.12659454423388908,0.01304248323675016,0.12425267494694527,1.909191639848511,1.9108852885194574,0.12659454423388908,0.0016114851982721604,0.9895517780002998,0.010448221999700191,False,insufficient_outer_points,insufficient_outer_points
