Galaxy,R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vdisk_kms,Vbul_kms,Vbar_kms,gobs_km2s2_per_kpc,gbar_km2s2_per_kpc,log10_gobs,log10_gbar,is_outer
DDO170,1.87,27.7,3.0,8.68,18.19,0.0,20.154862936770375,410.3155080213903,217.22914438502676,2.6131179315923982,2.3369180916188474,False
DDO170,3.36,42.4,1.5,15.07,19.75,0.0,24.84285410334328,535.047619047619,183.68077380952383,2.7283924357956213,2.2640637003155404,False
DDO170,4.86,52.5,1.0,20.59,19.94,0.0,28.66272317837229,567.1296296296296,169.0435596707819,2.75368233754962,2.2279986293891505,False
DDO170,6.35,55.6,1.0,24.61,19.17,0.0,31.195207965326983,486.82834645669294,153.2505511811024,2.6873758578721394,2.185402045177277,True
DDO170,7.85,58.6,1.1,26.94,18.71,0.0,32.79981249946408,437.4471337579618,137.04811464968157,2.640925575290929,2.1368730653926877,True
DDO170,9.34,59.0,1.2,27.6,17.41,0.0,32.63231680405178,372.6980728051392,114.01157387580301,2.571357147054195,2.056948940943981,True
DDO170,10.83,60.0,1.3,26.77,16.05,0.0,31.212744192076414,332.409972299169,89.95710064635273,2.521674044141967,1.954035449502793,True
DDO170,12.33,62.2,1.0,24.9,15.01,0.0,29.074217100379503,313.77453365774534,68.55718572587185,2.4966176927859056,1.836052981482087,True
ESO079-G014,0.41,33.2,11.6,2.21,28.95,0.0,29.034231520741166,2688.3902439024396,2056.0648780487804,3.429492310688337,3.3130368144740334,False
ESO079-G014,0.98,50.4,11.8,4.41,47.6,0.0,47.803850263341765,2592.0,2331.8450000000003,3.413634997198556,3.3676996790707188,False
ESO079-G014,1.78,53.9,9.75,6.75,62.09,0.0,62.455829191517424,1632.1404494382023,2191.4216853932585,3.2127575280645835,3.340725954930983,False
ESO079-G014,2.69,67.6,5.1,8.55,75.48,0.0,75.96270729772604,1698.795539033457,2145.1051672862454,3.230141111880864,3.331448589039374,False
