Galaxy,Q,Rdisk_kpc,Vflat_kms,Inc_deg,D_Mpc,L36_1e9solLum,MHI_1e9solMass,N_total,N_invalid_total,N_outer_raw,N_outer_valid,outer_radius_threshold_kpc,outer_slope_ols,outer_slope_stderr,outer_slope_weighted,intercept_log10,weighted_intercept_log10,flatness_abs,stability_index_log10,rvalue_loglog,pvalue_loglog,accepted_main,exclusion_reason_primary,exclusion_reasons_all
UGC03205,1,3.19,219.6,67.0,50.0,113.642,9.677,48,0,25,25,7.975,-0.04017492911762695,0.007370545644670952,-0.0545901827730556,2.3910353824213177,2.4062664579837096,0.04017492911762695,0.007155630077109933,-0.7507695154656332,1.5356507680721494e-05,True,,
UGC03546,1,3.79,196.9,55.0,28.7,101.336,2.675,30,0,12,12,9.475,-0.07384387594236035,0.010456661435160585,-0.06434138287347098,2.3857911747661324,2.3766524137753637,0.07384387594236035,0.004808354069465013,-0.9126733048693142,3.449090150281189e-05,True,,
UGC03580,2,2.43,126.2,63.0,20.7,13.266,4.37,47,0,16,16,6.075,0.15430783847592042,0.014982173305316699,0.16202219246101723,1.8938425410762374,1.8842043640835953,0.15430783847592042,0.010140249323861303,0.9398985898729533,6.473988232593786e-08,True,,
UGC05253,2,8.07,213.7,37.0,22.9,171.582,16.396,73,0,11,11,20.175,-0.19066719773753188,0.029483658187035963,-0.18939284574467607,2.6480177835861753,2.6424391411117303,0.19066719773753188,0.011822595008728166,-0.9071417279060187,0.00011583543789799607,True,,
UGC05716,2,1.14,73.1,54.0,21.3,0.588,1.094,12,0,10,10,2.8499999999999996,0.21939769625424263,0.02446755853191979,0.23353766180100716,1.646720579442001,1.6342973883667122,0.21939769625424263,0.013716704428637719,0.9536809437715356,1.9040155017754852e-05,True,,
UGC05721,1,0.38,79.7,61.0,6.18,0.531,0.562,23,0,18,18,0.95,0.0548657070450106,0.029081536473797392,0.039457110378075616,1.8659649671319005,1.8748998974319053,0.0548657070450106,0.031068691047286927,0.42658613455096234,0.07749485488265605,True,,
UGC05986,2,1.67,113.0,90.0,8.63,4.695,2.667,15,0,9,9,4.175,-0.06639072803613777,0.0345867000988037,-0.044453396874038424,2.1077868214860387,2.095597870223048,0.06639072803613777,0.010306725400828031,-0.5872433261429898,0.09639427848407638,True,,
UGC06446,1,1.49,82.2,51.0,12.0,0.988,1.379,17,0,11,11,3.725,0.10068552906270267,0.028180940320262745,0.13612225466992123,1.8247937651658828,1.7983831680283315,0.10068552906270267,0.011071411593369756,0.7658285561436875,0.005997688886380754,True,,
UGC06614,1,5.1,199.8,36.0,88.7,124.35,21.888,13,0,8,8,12.75,0.12426291378158064,0.01911570528150943,0.12754294808874117,2.102524196464897,2.1000940476910452,0.12426291378158064,0.010744136590935507,0.9357706167613099,0.0006309311639619033,True,,
UGC06786,1,3.6,219.4,64.0,29.3,73.407,5.03,45,0,15,15,9.0,-0.04915869188381734,0.010565425766780344,-0.010906209839307459,2.4127130847762226,2.3687778226250438,0.04915869188381734,0.006658156736210484,-0.7904446504173055,0.0004522298359807462,True,,
UGC06787,2,5.37,248.1,66.0,21.3,98.256,5.03,71,0,19,19,13.425,0.16780189183563926,0.01786276167738805,0.20831251061465514,2.151298463804324,2.095327385200054,0.16780189183563926,0.008829665591170809,0.9156823298968447,3.840053186085569e-08,True,,
UGC06983,1,3.21,109.0,49.0,18.0,5.298,2.967,17,0,9,9,8.025,-0.024952300416104613,0.02643226184900176,-0.010855612904410221,2.065197877506927,2.0516771236346885,0.024952300416104613,0.00608710461526686,-0.33605163783496966,0.3765984942666119,True,,
UGC07125,1,3.38,65.2,90.0,19.8,2.712,4.629,13,0,8,8,8.45,0.1241630894328502,0.03632674639148424,0.13929834669217012,1.6657188318452762,1.6514076513458606,0.1241630894328502,0.01038666151906684,0.8128219466579648,0.014179356639975892,True,,
UGC07603,1,0.53,61.6,78.0,4.7,0.376,0.258,12,0,9,9,1.3250000000000002,0.16903796327803025,0.031986453950047164,0.15737576517294144,1.706439800525295,1.7120542461297237,0.16903796327803025,0.013638775777562973,0.894195964122894,0.0011422313338257486,True,,
UGC08286,1,1.05,82.4,90.0,6.5,1.255,0.642,17,0,12,12,2.625,0.12251286697751745,0.008706447177977732,0.12074918846204759,1.8194565686785837,1.8207342714103978,0.12251286697751745,0.00402364638249536,0.9756663323811339,6.45049506274729e-08,True,,
UGC08490,1,0.67,78.6,50.0,4.65,1.017,0.72,30,0,26,26,1.675,0.02140869019500459,0.007508680770386821,0.020362177142107668,1.8785214295166937,1.8795743663336628,0.02140869019500459,0.008234450651868827,0.5030091149601498,0.00881279637347595,True,,
UGC08550,1,0.45,56.9,90.0,6.7,0.289,0.288,11,0,9,9,1.125,0.15869915373093274,0.013724100416243131,0.1605636136059057,1.6468982466551036,1.6457611832909644,0.15869915373093274,0.006866865717495782,0.974809829244936,8.150074413384187e-06,True,,
UGC08699,2,3.09,182.4,73.0,39.3,50.302,3.738,41,0,18,18,7.725,-0.03817861946445659,0.010666344030358956,-0.04232941692686969,2.3049871819604015,2.308053168969637,0.03817861946445659,0.007350578795009349,-0.6668369154858133,0.0025061768129604253,True,,
UGC09037,2,4.28,152.3,65.0,83.6,68.614,19.078,22,0,15,15,10.700000000000001,0.0639743328523854,0.0397348834560138,0.13491879179754415,2.0985076772270843,2.0190816990743037,0.0639743328523854,0.01834580403550694,0.4077370677113259,0.1313947884672305,True,,
UGC09133,1,6.97,226.8,53.0,57.1,282.926,33.428,68,0,30,30,17.425,-0.11381628467914066,0.008744427519175191,-0.1111130382056627,2.576754701126964,2.567322668029776,0.11381628467914066,0.009570317822246937,-0.9263720506189327,2.1394206474935316e-13,True,,
UGC11455,1,5.93,269.4,90.0,78.6,374.322,13.335,36,0,14,14,14.825,-0.09344938363439834,0.02062823693968548,-0.09072935531981842,2.5748779421815127,2.571070601681213,0.09344938363439834,0.009738518064940234,-0.7943700744684797,0.0006895109278158689,True,,
UGC11914,1,2.44,288.1,31.0,16.9,150.028,0.888,65,0,10,10,6.1,0.16169297148924217,0.012013866234051901,0.13810630634671806,2.321463601562026,2.341759689262908,0.16169297148924217,0.0022911926459179485,0.9786232710034874,8.903456603427611e-07,True,,
UGC12506,2,7.38,234.0,86.0,100.6,139.571,35.556,31,0,20,20,18.45,-0.11060457175446814,0.014922297628666424,-0.1103912830803528,2.549121268462493,2.5488643984645543,0.11060457175446814,0.008202592856490146,-0.8678801067033887,7.141664006135013e-07,True,,
UGC12732,1,1.98,0.0,39.0,13.2,1.667,3.66,16,0,11,11,4.95,0.2725247493503248,0.020433970223897074,0.2841118287163472,1.6533210408130445,1.6426882724703327,0.2725247493503248,0.008551387042617618,0.9756221424033932,3.116492119239409e-07,True,,
UGCA444,2,0.83,37.0,78.0,0.98,0.012,0.067,36,0,8,8,2.0749999999999997,0.5462010636563299,0.13316359283191861,0.49990531876190253,1.3508086030891415,1.3663452967895382,0.5462010636563299,0.01068466666724975,0.8585574941071807,0.0063450210524804125,True,,
